08/12/24 21:53:34 Training initiated with the following parameters:
Model Parameters: (('in_channels', 1), ('hidden_channels', 32), ('out_channels', 64), ('conv_kernel_size', 5), ('pool_kernel_size', 2), ('pool_stride', 2), ('dropout', 0.5), ('leak', 0.4), ('input_size', 8192))

08/12/24 21:53:35 (0m 00s) | [1/10] Batch 0 (0.683s) | LR: 0.0001 | Loss: 1.3629 | Abs. Loss: 1.36
08/12/24 21:53:35 (0m 01s) | [1/10] Batch 1 (0.014s) | LR: 0.0001 | Loss: 1.3829 | Abs. Loss: 2.75
08/12/24 21:53:35 (0m 01s) | [1/10] Batch 2 (0.016s) | LR: 0.0001 | Loss: 1.3734 | Abs. Loss: 4.12
08/12/24 21:53:35 (0m 01s) | [1/10] Batch 3 (0.016s) | LR: 0.0001 | Loss: 1.3660 | Abs. Loss: 5.49
08/12/24 21:53:35 (0m 01s) | [1/10] Batch 4 (0.015s) | LR: 0.0001 | Loss: 1.3694 | Abs. Loss: 6.85
08/12/24 21:53:35 (0m 01s) | [1/10] Batch 5 (0.015s) | LR: 0.0001 | Loss: 1.3541 | Abs. Loss: 8.21
08/12/24 21:53:35 (0m 01s) | [1/10] Batch 6 (0.014s) | LR: 0.0001 | Loss: 1.3447 | Abs. Loss: 9.55
08/12/24 21:53:35 (0m 01s) | [1/10] Batch 7 (0.015s) | LR: 0.0001 | Loss: 1.3553 | Abs. Loss: 10.91
08/12/24 21:53:35 (0m 01s) | [1/10] Batch 8 (0.015s) | LR: 0.0001 | Loss: 1.3737 | Abs. Loss: 12.28
08/12/24 21:53:35 (0m 01s) | [1/10] Batch 9 (0.016s) | LR: 0.0001 | Loss: 1.3478 | Abs. Loss: 13.63
08/12/24 21:53:35 (0m 01s) | [1/10] Batch 10 (0.015s) | LR: 0.0001 | Loss: 1.3664 | Abs. Loss: 15.00
08/12/24 21:53:36 (0m 01s) | [1/10] Batch 11 (0.015s) | LR: 0.0001 | Loss: 1.3437 | Abs. Loss: 16.34
08/12/24 21:53:36 (0m 01s) | [1/10] Batch 12 (0.015s) | LR: 0.0001 | Loss: 1.3420 | Abs. Loss: 17.68
08/12/24 21:53:36 (0m 01s) | [1/10] Batch 13 (0.016s) | LR: 0.0001 | Loss: 1.3574 | Abs. Loss: 19.04
08/12/24 21:53:36 (0m 01s) | [1/10] Batch 14 (0.015s) | LR: 0.0001 | Loss: 1.3682 | Abs. Loss: 20.41
08/12/24 21:53:36 (0m 01s) | [1/10] Batch 15 (0.014s) | LR: 0.0001 | Loss: 1.3433 | Abs. Loss: 21.75
08/12/24 21:53:36 (0m 01s) | [1/10] Batch 16 (0.013s) | LR: 0.0001 | Loss: 1.3418 | Abs. Loss: 23.09
08/12/24 21:53:36 (0m 01s) | [1/10] Batch 17 (0.014s) | LR: 0.0001 | Loss: 1.3494 | Abs. Loss: 24.44
08/12/24 21:53:36 (0m 01s) | [1/10] Batch 18 (0.015s) | LR: 0.0001 | Loss: 1.3552 | Abs. Loss: 25.80
08/12/24 21:53:36 (0m 01s) | [1/10] Batch 19 (0.012s) | LR: 0.0001 | Loss: 1.3666 | Abs. Loss: 27.16
08/12/24 21:53:36 (0m 01s) | [1/10] Batch 20 (0.014s) | LR: 0.0001 | Loss: 1.3227 | Abs. Loss: 28.49
08/12/24 21:53:36 (0m 01s) | [1/10] Batch 21 (0.015s) | LR: 0.0001 | Loss: 1.3376 | Abs. Loss: 29.82
08/12/24 21:53:36 (0m 01s) | [1/10] Batch 22 (0.013s) | LR: 0.0001 | Loss: 1.3345 | Abs. Loss: 31.16
