08/12/24 22:15:09 Training initiated with the following parameters:
Model Parameters: (('in_channels', 1), ('hidden_channels', 32), ('out_channels', 64), ('conv_kernel_size', 5), ('pool_kernel_size', 2), ('pool_stride', 2), ('dropout', 0.5), ('leak', 0.4), ('input_size', 8192))

08/12/24 22:15:10 (0m 00s) | [1/10] Batch 0 (0.687s) | LR: 0.0001 | Loss: 1.3748 | Abs. Loss: 1.37
08/12/24 22:15:10 (0m 01s) | [1/10] Batch 1 (0.030s) | LR: 0.0001 | Loss: 1.3791 | Abs. Loss: 2.75
08/12/24 22:15:10 (0m 01s) | [1/10] Batch 2 (0.021s) | LR: 0.0001 | Loss: 1.3690 | Abs. Loss: 4.12
08/12/24 22:15:10 (0m 01s) | [1/10] Batch 3 (0.023s) | LR: 0.0001 | Loss: 1.3863 | Abs. Loss: 5.51
08/12/24 22:15:10 (0m 01s) | [1/10] Batch 4 (0.019s) | LR: 0.0001 | Loss: 1.3746 | Abs. Loss: 6.88
08/12/24 22:15:10 (0m 01s) | [1/10] Batch 5 (0.020s) | LR: 0.0001 | Loss: 1.3899 | Abs. Loss: 8.27
08/12/24 22:15:10 (0m 01s) | [1/10] Batch 6 (0.018s) | LR: 0.0001 | Loss: 1.3789 | Abs. Loss: 9.65
08/12/24 22:15:10 (0m 01s) | [1/10] Batch 7 (0.020s) | LR: 0.0001 | Loss: 1.3844 | Abs. Loss: 11.04
08/12/24 22:15:10 (0m 01s) | [1/10] Batch 8 (0.021s) | LR: 0.0001 | Loss: 1.3620 | Abs. Loss: 12.40
08/12/24 22:15:10 (0m 01s) | [1/10] Batch 9 (0.018s) | LR: 0.0001 | Loss: 1.3592 | Abs. Loss: 13.76
08/12/24 22:15:10 (0m 01s) | [1/10] Batch 10 (0.019s) | LR: 0.0001 | Loss: 1.3534 | Abs. Loss: 15.11
08/12/24 22:15:10 (0m 01s) | [1/10] Batch 11 (0.019s) | LR: 0.0001 | Loss: 1.3865 | Abs. Loss: 16.50
08/12/24 22:15:10 (0m 01s) | [1/10] Batch 12 (0.019s) | LR: 0.0001 | Loss: 1.3893 | Abs. Loss: 17.89
08/12/24 22:15:10 (0m 01s) | [1/10] Batch 13 (0.019s) | LR: 0.0001 | Loss: 1.3779 | Abs. Loss: 19.27
08/12/24 22:15:10 (0m 01s) | [1/10] Batch 14 (0.020s) | LR: 0.0001 | Loss: 1.3691 | Abs. Loss: 20.63
08/12/24 22:15:10 (0m 01s) | [1/10] Batch 15 (0.017s) | LR: 0.0001 | Loss: 1.3573 | Abs. Loss: 21.99
08/12/24 22:15:11 (0m 01s) | [1/10] Batch 16 (0.019s) | LR: 0.0001 | Loss: 1.3627 | Abs. Loss: 23.35
08/12/24 22:15:11 (0m 01s) | [1/10] Batch 17 (0.021s) | LR: 0.0001 | Loss: 1.3723 | Abs. Loss: 24.73
08/12/24 22:15:11 (0m 01s) | [1/10] Batch 18 (0.018s) | LR: 0.0001 | Loss: 1.3433 | Abs. Loss: 26.07
