08/12/24 12:30:03 Training initiated with the following parameters:
Model Parameters: (('in_channels', 1), ('hidden_channels', 32), ('out_channels', 64), ('conv_kernel_size', 5), ('pool_kernel_size', 2), ('pool_stride', 2), ('dropout', 0.5), ('leak', 0.4), ('input_size', 8192))

08/12/24 12:30:03 (0m 00s) | [1/300] Batch 0 (0.670s) | LR: 0.0001 | Loss: 1.3598 | Abs. Loss: 1.36
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 1 (0.015s) | LR: 0.0001 | Loss: 1.6626 | Abs. Loss: 3.02
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 2 (0.019s) | LR: 0.0001 | Loss: 1.2169 | Abs. Loss: 4.24
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 3 (0.022s) | LR: 0.0001 | Loss: 1.1879 | Abs. Loss: 5.43
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 4 (0.016s) | LR: 0.0001 | Loss: 1.2170 | Abs. Loss: 6.64
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 5 (0.016s) | LR: 0.0001 | Loss: 1.2674 | Abs. Loss: 7.91
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 6 (0.017s) | LR: 0.0001 | Loss: 1.2613 | Abs. Loss: 9.17
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 7 (0.017s) | LR: 0.0001 | Loss: 1.2335 | Abs. Loss: 10.41
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 8 (0.019s) | LR: 0.0001 | Loss: 1.2880 | Abs. Loss: 11.69
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 9 (0.017s) | LR: 0.0001 | Loss: 1.2137 | Abs. Loss: 12.91
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 10 (0.017s) | LR: 0.0001 | Loss: 1.3004 | Abs. Loss: 14.21
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 11 (0.017s) | LR: 0.0001 | Loss: 1.3771 | Abs. Loss: 15.59
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 12 (0.017s) | LR: 0.0001 | Loss: 1.3072 | Abs. Loss: 16.89
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 13 (0.018s) | LR: 0.0001 | Loss: 1.3231 | Abs. Loss: 18.22
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 14 (0.017s) | LR: 0.0001 | Loss: 1.3799 | Abs. Loss: 19.60
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 15 (0.018s) | LR: 0.0001 | Loss: 1.2662 | Abs. Loss: 20.86
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 16 (0.016s) | LR: 0.0001 | Loss: 1.2670 | Abs. Loss: 22.13
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 17 (0.018s) | LR: 0.0001 | Loss: 1.2550 | Abs. Loss: 23.38
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 18 (0.017s) | LR: 0.0001 | Loss: 1.2298 | Abs. Loss: 24.61
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 19 (0.016s) | LR: 0.0001 | Loss: 1.2466 | Abs. Loss: 25.86
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 20 (0.018s) | LR: 0.0001 | Loss: 1.3735 | Abs. Loss: 27.23
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 21 (0.017s) | LR: 0.0001 | Loss: 1.1437 | Abs. Loss: 28.38
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 22 (0.017s) | LR: 0.0001 | Loss: 1.3652 | Abs. Loss: 29.74
08/12/24 12:30:04 (0m 01s) | [1/300] Batch 23 (0.018s) | LR: 0.0001 | Loss: 1.2268 | Abs. Loss: 30.97
